id_client,age,ville,profession,situation_familiale,nbr_enfants,salaire_mensuel,epargne_totale,nbr_credits_actifs,anciennete_banque_mois,transactions_mois,utilisation_app_mobile,montant_moyen_transaction,score_credit,risque_defaut
1,60,Casablanca,Entrepreneur,Célibataire,3,2500.0,94784.61754695255,3.0,90,22,1,827.346888802834,850.0,1
2,50,Fès,Ingénieur,Célibataire,1,14953.009437750356,103132.21832002266,1.0,108,25,0,1635.9724934046744,850.0,0
3,36,Tétouan,Entrepreneur,Veuf(ve),1,7905.524503716431,22818.940732388364,1.0,190,23,1,1185.056809266447,850.0,0
4,64,Marrakech,Sans emploi,Divorcé(e),3,5299.447016899216,52490.15513033415,0.0,180,23,1,1222.20427920286,850.0,0
5,29,Kenitra,Cadre,Marié(e),4,2500.0,178992.49126621467,2.0,20,24,1,1223.2149009856782,850.0,1
6,42,Marrakech,Ingénieur,Célibataire,1,7226.094124342041,47380.79721508691,1.0,103,30,0,1868.6879555220964,850.0,0
7,60,Agadir,Employé,Veuf(ve),0,7477.881718179907,26744.135717233243,2.0,97,20,0,50.0,828.5412357779933,1
8,40,Casablanca,Cadre,Divorcé(e),3,10677.680927470787,46629.79970748483,0.0,222,30,1,1370.708331531882,850.0,0
9,44,Agadir,Sans emploi,Divorcé(e),1,4661.580274762417,2156.7929502966367,0.0,144,23,0,1025.8779737516893,667.3664351709192,0
10,32,Fès,Fonctionnaire,Divorcé(e),4,6131.846503956395,25184.212604290424,3.0,7,27,1,748.5023804816304,603.483197048582,1
11,32,Oujda,Technicien,Veuf(ve),4,4763.929631193343,6100.3084463965015,1.0,94,16,1,746.9181492399996,553.4719798779673,1
12,45,Kenitra,Sans emploi,Célibataire,0,7236.825091979733,3084.25554838335,2.0,66,21,1,50.0,509.52820511273114,1
13,57,Fès,Entrepreneur,Divorcé(e),4,2500.0,55843.09796435973,0.0,12,24,0,720.9491378392834,735.2303485606789,1
14,61,Tétouan,Entrepreneur,Veuf(ve),1,5185.296938814588,25516.63665588304,1.0,171,27,1,1974.2776349636024,850.0,0
15,45,Tétouan,Entrepreneur,Veuf(ve),2,10204.006745364793,6977.856890833275,2.0,40,19,1,1699.2329268165238,562.9599766217817,1
16,24,Agadir,Entrepreneur,Marié(e),0,3710.943702860908,12225.88159362956,1.0,1,23,0,1085.1709425633044,370.24616871627853,1
17,43,Casablanca,Sans emploi,Veuf(ve),3,11498.270635298895,90555.3412001134,1.0,58,21,1,353.2465668956062,850.0,0
18,23,Fès,Technicien,Divorcé(e),2,11056.766060698934,49545.54221330229,0.0,131,27,1,1693.1218633554772,850.0,0
19,45,Meknès,Commerçant,Divorcé(e),2,11349.581983436005,392.6116911524858,0.0,8,16,1,1985.9090469962507,674.0935834368748,0
20,65,Casablanca,Entrepreneur,Veuf(ve),3,7984.169008220476,97553.04849414821,0.0,90,24,0,1820.5168024785987,850.0,0
21,51,Oujda,Commerçant,Divorcé(e),1,7669.599308595294,11492.600256166197,1.0,232,24,0,618.7646670081781,850.0,0
22,59,Tétouan,Technicien,Veuf(ve),1,9118.632533169652,29720.386978099556,2.0,75,26,1,681.0727914823877,850.0,1
23,23,Agadir,Technicien,Divorcé(e),3,12620.93401011523,31178.668629392174,0.0,189,25,1,2193.546755306528,850.0,0
24,42,Tanger,Cadre,Marié(e),2,12302.469884510232,60670.97302116699,1.0,85,23,1,474.4373751018237,850.0,0
25,54,Tétouan,Ingénieur,Célibataire,4,2500.0,54083.81622676885,2.0,5,25,0,1486.9280193093425,695.5390150719846,1
26,33,Kenitra,Employé,Marié(e),4,4939.933500756438,8272.729181378667,0.0,232,21,1,133.35831175608337,850.0,0
27,43,Rabat,Enseignant,Marié(e),1,4311.211318837343,25788.014060327758,2.0,26,29,1,1019.8107795756507,581.8450329620927,1
28,65,Tanger,Employé,Célibataire,1,10543.705424001653,12509.732756107785,3.0,85,24,1,1551.0902404406133,713.0728212423336,1
29,46,Agadir,Sans emploi,Divorcé(e),0,5622.501635624299,18639.645974068935,0.0,73,30,1,1182.0204257147325,816.8233142222197,0
30,48,Meknès,Enseignant,Célibataire,2,7288.132644966445,20223.97107197212,0.0,145,28,1,1514.3479926330645,850.0,0
31,63,Tanger,Technicien,Veuf(ve),1,13977.81992344637,12618.746542448262,0.0,101,23,0,464.2769546077527,850.0,0
32,49,Kenitra,Employé,Célibataire,2,11923.083438038708,15585.585359926436,2.0,66,20,1,707.9988213026068,850.0,1
33,37,Casablanca,Médecin,Marié(e),0,12816.69629859231,5840.653426003793,0.0,179,29,0,1489.0910270993213,850.0,0
34,36,Meknès,Ingénieur,Célibataire,0,5490.66086273015,23389.79405769576,1.0,119,31,1,1618.1328852314252,767.3728158082989,0
35,68,Tétouan,Employé,Divorcé(e),0,2500.0,35569.79046224483,1.0,47,31,1,1331.8877118377175,663.4249444773138,1
36,65,Meknès,Ingénieur,Marié(e),0,6615.663544350849,14041.62483347739,2.0,168,24,1,1768.2346449949875,850.0,1
37,24,Fès,Commerçant,Veuf(ve),2,2960.1790476491806,95056.90233180071,2.0,92,20,1,205.67523685723415,850.0,1
38,58,Kenitra,Sans emploi,Divorcé(e),0,2500.0,1473.2279467658364,3.0,27,24,0,920.2812297918842,300.0,1
39,28,Tanger,Ingénieur,Marié(e),0,11950.35489440644,22238.827352106287,0.0,40,18,0,2293.6102639357105,850.0,0
40,42,Fès,Commerçant,Veuf(ve),0,,21902.769992421192,,1,23,1,1970.081297396232,681.3036130068645,0
41,30,Meknès,Entrepreneur,Divorcé(e),2,5177.031600751467,924.2843590198456,0.0,174,27,1,1580.1828990045265,791.2224572205112,0
42,60,Fès,Commerçant,Veuf(ve),3,,6358.444677764062,1.0,139,26,1,1106.7798159866982,826.257443039559,0
43,39,Marrakech,Sans emploi,Célibataire,0,13762.730676635943,58990.154166818735,1.0,167,27,1,1820.8893770099812,850.0,0
44,25,Kenitra,Cadre,Célibataire,2,7434.350087521437,19659.759903690847,3.0,18,31,1,1457.484911796964,635.3715586189609,1
45,46,Oujda,Entrepreneur,Veuf(ve),1,11330.563551803565,14334.635927847301,2.0,91,34,0,289.5357812356626,850.0,1
46,35,Casablanca,Technicien,Célibataire,0,6896.289324427182,13424.810422137281,0.0,47,31,0,1797.4574682336777,662.8103702855861,0
